property_id,city,property_type,area_sqft,bedrooms,bathrooms,year_built,furnished,parking_spaces,price,agent_name,listing_date,floors,distance_from_center_km,condition,internal_notes,row_number
P100410,islamabad,Apartment,2851.0,5.0,5.0,2014,No,4,17100000.0,Zain Khan,2022-08-13 00:00:00,3,2.6,New,,411
P101943,Karachi,Townhouse,3225.0,5.0,5.0,2008,No,2,16950000.0,Ali Sheikh,2025-03-18 00:00:00,2,14.0,Average,owner waiting,1944
P101225,Faisalabad,Villa,1900.0,4.0,4.0,2006,No,0,7850000.0,Ali Qureshi,2023-08-04 00:00:00,3,2.0,Good,call later,1226
P102166,Faisalabad,Villa,1792.0,4.0,4.0,1985,No,2,8000000.0,Bilal Sheikh,,2,7.2,Excellent,VIP,2167
P101512,Islamabad,Townhouse,790.0,2.0,1.0,1980,No,1,5700000.0,Ayesha Sheikh,2025-03-08 00:00:00,1,7.0,Average,urgent,1513
P101512,Islamabad,Townhouse,790.0,2.0,1.0,1980,No,1,5700000.0,Ayesha Sheikh,2025-03-08 00:00:00,1,7.0,Average,urgent,1513
P101512,Islamabad,Townhouse,790.0,2.0,1.0,1980,No,1,5700000.0,Ayesha Sheikh,2025-03-08 00:00:00,1,7.0,Average,urgent,1513
P100495,Islamabad,Apartment,1749.0,3.0,2.0,2005,No,2,14300000.0,Ali Raza,2023-04-13 00:00:00,3,4.8,New,,496
P100657,Karachi,House,1119.0,2.0,1.0,2010,No,1,6000000.0,Bilal Iqbal,2023-10-16 00:00:00,3,6.2,Average,VIP,658
P102351,Faisalabad,Apartment,1480.0,2.0,2.0,1990,Yes,2,4150000.0,Zain Malik,2022-01-08 00:00:00,2,10.9,New,VIP,2352
P101103,Multan,House,1566.0,3.0,3.0,1986,No,2,5550000.0,Hina Sheikh,2025-08-27 00:00:00,1,2.5,Good,urgent,1104
P102144,Lahore,House,2199.0,4.0,3.0,1987,No,2,10200000.0,Hina Malik,2023-11-16 00:00:00,2,3.2,Good,owner waiting,2145
P101289,Islamabad,Apartment,1657.0,3.0,3.0,2000,No,2,10350000.0,Ali Shah,2024-02-26 00:00:00,2,3.5,Good,urgent,1290
P100043,Lahore,House,1822.0,4.0,4.0,1999,No,1,10200000.0,Maham Khan,2023-03-26 00:00:00,2,4.4,Good,VIP,44
P101583,Karachi,House,1520.0,3.0,2.0,2010,Yes,3,10200000.0,Ahmed Iqbal,2023-10-18 00:00:00,1,10.8,Good,urgent,1584
P101829,Lahore,Townhouse,2221.0,2.0,2.0,2013,Yes,1,9900000.0,Saad Shah,2023-03-23 00:00:00,3,16.7,Excellent,follow up,1830
P101486,Hyderabad,House,1475.0,3.0,2.0,1988,No,1,4450000.0,Danish Ahmed,2025-12-07 00:00:00,4,19.8,New,follow up,1487
P101590,Karachi,House,2647.0,4.0,4.0,1994,No,1,16950000.0,Maham Siddiqui,2024-11-03 00:00:00,2,14.9,Average,nan,1591
P101435,Hyderabad,House,2845.0,6.0,6.0,2002,Yes,1,9150000.0,Maham Qureshi,2025-05-13 00:00:00,2,14.4,Average,call later,1436
P101611,Multan,Villa,2357.0,5.0,5.0,1997,No,3,9450000.0,Danish Iqbal,2022-08-21 00:00:00,1,5.2,Excellent,call later,1612
P102452,Islamabad,House,3321.0,7.0,6.0,1984,Yes,2,22750000.0,Ayesha Malik,2024-06-06 00:00:00,1,0.8,Good,owner waiting,2453
P102216,Karachi,House,2506.0,4.0,4.0,2008,Yes,3,14450000.0,Maham Shah,2025-07-23 00:00:00,2,11.6,Average,owner waiting,2217
P102066,Lahore,Villa,2480.0,5.0,5.0,1986,Yes,2,20950000.0,Fatima Shah,2024-12-30 00:00:00,4,2.2,Average,call later,2067
P102296,rawalpindi,House,2601.0,4.0,4.0,2008,No,1,11050000.0,Fatima Raza,2025-07-15 00:00:00,1,9.8,Good,,2297
P100282,Karachi,Apartment,738.0,2.0,2.0,2005,No,2,3500000.0,  Ayesha Butt  ,2022-08-03 00:00:00,2,4.7,Excellent,owner waiting,283
P100239,Karachi,Apartment,1240.0,2.0,2.0,1984,,1,5250000.0,Ali Malik,,2,3.2,Excellent,,240
P100239,Karachi,Apartment,1240.0,2.0,2.0,1984,,1,5250000.0,Ali Malik,,2,3.2,Excellent,,240
P102108,Lahore,House,2181.0,3.0,2.0,2014,Yes,2,12800000.0,Sara Shah,2023-05-27 00:00:00,3,2.0,Good,nan,2109
P100857,Faisalabad,Apartment,1994.0,3.0,3.0,2023,Yes,2,6300000.0,Hamza Ahmed,2022-08-16 00:00:00,2,2.7,Good,follow up,858
P102005,Faisalabad,House,1554.0,3.0,2.0,2019,Yes,2,5400000.0,Maham Khan,2023-05-27 00:00:00,1,3.9,Average,nan,2006
P101375,Karachi,House,1843.0,4.0,3.0,2009,No,2,11100000.0,Danish Siddiqui,2023-11-22 00:00:00,3,2.9,Good,urgent,1376
P101304,Multan,House,1452.0,3.0,2.0,2010,Yes,1,5450000.0,Hamza Sheikh,2023-05-04 00:00:00,1,13.5,Excellent,follow up,1305
P100611,Islamabad,House,1535.0,3.0,3.0,2017,Yes,1,10450000.0,Saad Sheikh,2024-11-17 00:00:00,2,7.9,Good,,612
P100507,Multan,House,886.0,1.0,1.0,2019,No,2,3450000.0,Maham Shah,2024-02-15 00:00:00,4,2.4,Good,nan,508
P102395,Hyderabad,Apartment,1039.0,2.0,2.0,2023,Yes,1,2750000.0,Hassan Iqbal,2024-09-16 00:00:00,2,6.0,New,call later,2396
P102270,Islamabad,Apartment,1983.0,4.0,3.0,2010,Yes,2,12000000.0,Sara Shah,2023-05-25 00:00:00,2,6.8,Excellent,call later,2271
P101606,Hyderabad,Apartment,1336.0,3.0,3.0,2021,Yes,1,3300000.0,Hamza Iqbal,2023-05-27 00:00:00,2,10.0,Good,VIP,1607
P102013,Lahore,House,802.0,1.0,1.0,1980,No,2,3900000.0,Maham Ahmed,2024-05-15 00:00:00,2,13.6,Average,follow up,2014
P101936,Lahore,Villa,1729.0,3.0,,1987,Yes,3,10650000.0,Ali Ahmed,2023-02-26 00:00:00,3,8.3,Good,nan,1937
P101562,Faisalabad,House,1809.0,3.0,3.0,2017,No,4,6750000.0,Maham Khan,2022-04-08 00:00:00,4,5.8,Average,urgent,1563
P101562,Faisalabad,House,1809.0,3.0,3.0,2017,No,4,6750000.0,Maham Khan,2022-04-08 00:00:00,4,5.8,Average,urgent,1563
P101754,Lahore,Villa,832.0,2.0,2.0,1981,NO,1,4900000.0,Usman Sheikh,2023-07-17 00:00:00,2,8.2,Excellent,nan,1755
P101259,Hyderabad,House,1611.0,,3.0,1994,No,1,6000000.0,Maham Sheikh,2024-09-25 00:00:00,2,5.6,Good,owner waiting,1260
P100420,Islamabad,Townhouse,1958.0,3.0,3.0,2009,No,0,"13,350,000",Fatima Butt,2024-08-22 00:00:00,1,0.7,Excellent,owner waiting,421
P102259,Lahore,Townhouse,3841.0,6.0,6.0,2006,No,3,200000000.0,Hina Raza,2025-12-05 00:00:00,2,16.0,Needs Renovation,urgent,2260
P100498,Lahore,Townhouse,1494.0,3.0,3.0,2020,Yes,2,8200000.0,Ahmed Ahmed,2025-03-23 00:00:00,4,1.4,New,nan,499
P100298,Multan,Apartment,,4.0,4.0,2004,No,1,6750000.0,Danish Iqbal,2024-07-21 00:00:00,1,5.8,Good,urgent,299
P100289,Karachi,House,2361.0,5.0,5.0,1990,Yes,2,14900000.0,Fatima Malik,2022-01-25 00:00:00,2,1.5,Good,,290
P102428,Islamabad,Apartment,520.0,2.0,2.0,1985,Yes,2,3650000.0,Bilal Ahmed,2025-06-12 00:00:00,3,4.2,Excellent,follow up,2429
P100450,Karachi,House,2063.0,3.0,2.0,2008,No,3,10250000.0,Hamza Siddiqui,2024-04-17 00:00:00,2,8.6,Good,,451
P100930,Karachi,Apartment,50000.0,2.0,1.0,2012,No,4,5550000.0,  Omar Iqbal  ,2024-05-27 00:00:00,3,11.7,Excellent,VIP,931
P101089,,House,1779.0,3.0,3.0,1998,No,0,8000000.0,Sara Iqbal,2024-08-30 00:00:00,2,0.8,Excellent,,1090
P100719,Peshawar,House,1888.0,3.0,3.0,1997,Yes,1,7150000.0,Sara Ahmed,2024-11-07 00:00:00,2,3.2,Excellent,follow up,720
P102026,Multan,Apartment,2194.0,3.0,2.0,1993,No,2,6500000.0,Hassan Shah,2022-11-06 00:00:00,3,7.0,Excellent,follow up,2027
P100802,Faisalabad,House,2932.0,4.0,3.0,1994,Yes,2,10850000.0,,2024-07-05 00:00:00,2,2.8,Average,urgent,803
P100632,Karachi,House,1708.0,2.0,1.0,2023,Yes,1,9000000.0,Hamza Iqbal,2024-04-16 00:00:00,2,6.8,New,VIP,633
P101808,Lahore,Townhouse,994.0,1.0,1.0,1993,No,2,4250000.0,Maham Khan,2022-06-13 00:00:00,2,7.4,Excellent,follow up,1809
P102498,Multan,House,483.0,1.0,1.0,1988,,2,1750000.0,Ayesha Malik,2023-02-07 00:00:00,2,12.1,New,follow up,2499
P100170,Karachi,Apartment,2363.0,5.0,5.0,1995,Yes,2,"11,550,000",Ayesha Qureshi,2023-05-01 00:00:00,1,4.6,Good,owner waiting,171
P100170,Karachi,Apartment,2363.0,5.0,5.0,1995,Yes,2,"11,550,000",Ayesha Qureshi,2023-05-01 00:00:00,1,4.6,Good,owner waiting,171
P101385,Karachi,House,1734.0,4.0,3.0,2007,Yes,2,9100000.0,Saad Raza,2023-09-14 00:00:00,2,14.5,Excellent,urgent,1386
P100772,Islamabad,Apartment,770.0,1.0,1.0,1998,Yes,1,300000000.0,Danish Malik,2024-11-04 00:00:00,3,3.9,Average,call later,773
P100318,Karachi,House,938.0,3.0,3.0,1986,No,1,4700000.0,Sara Siddiqui,2023-10-13 00:00:00,1,9.4,New,nan,319
P101091,Islamabad,House,1984.0,4.0,4.0,1999,Yes,0,15450000.0,Usman Siddiqui,2022-03-10 00:00:00,1,14.5,Good,call later,1092
P101490,,Townhouse,,,5.0,1992,No,1,15550000.0,Danish Butt,2023-07-24 00:00:00,3,16.0,Average,,1491
P101472,Karachi,Apartment,1169.0,2.0,1.0,1989,Yes,2,5800000.0,Zain Siddiqui,2023-07-13 00:00:00,2,8.3,Average,follow up,1473
P102302,LAHORE,House,1920.0,3.0,3.0,1998,Yes,1,7750000.0,Omar Malik,2024-07-21 00:00:00,2,10.9,Average,nan,2303
P101700,Peshawar,House,2018.0,3.0,2.0,1999,NO,3,9850000.0,Sara Siddiqui,2022-07-23 00:00:00,3,4.3,Needs Renovation,follow up,1701
P100093,Lahore,House,2343.0,4.0,4.0,2022,No,2,13250000.0,Sara Siddiqui,2024-07-31 00:00:00,2,3.4,Good,follow up,94
P100407,Multan,House,1086.0,2.0,1.0,1996,No,1,3600000.0,Ahmed Qureshi,2025-04-15 00:00:00,3,3.1,Good,urgent,408
P100246,Islamabad,House,2663.0,5.0,4.0,2021,Yes,0,14550000.0,Hassan Butt,2025-08-02 00:00:00,3,1.6,New,nan,247
P102451,Rawalpindi,Apartment,1742.0,3.0,2.0,1996,No,1,4350000.0,Zain Khan,2023-06-16 00:00:00,1,4.6,New,nan,2452
P100647,Lahore,Apartment,1996.0,4.0,3.0,1992,No,1,9100000.0,Fatima Ahmed,2023-01-07 00:00:00,3,18.5,Good,nan,648
P100521,Lahore,Apartment,1497.0,2.0,2.0,1981,Yes,1,6700000.0,Danish Ahmed,2022-09-12 00:00:00,3,5.9,Excellent,follow up,522
P101556,Peshawar,House,1834.0,4.0,4.0,2012,Yes,2,9800000.0,Omar Raza,2023-10-16 00:00:00,2,1.8,Good,owner waiting,1557
P100838,Lahore,HOUSE,1399.0,2.0,2.0,1993,No,3,7550000.0,Saad Raza,2023-05-27 00:00:00,2,3.3,Average,urgent,839
P100618,Karachi,House,,3.0,3.0,1985,No,3,12400000.0,Danish Qureshi,2022-03-25 00:00:00,3,20.7,Excellent,owner waiting,619
P101784,Karachi,Villa,1637.0,3.0,3.0,1981,No,2,10300000.0,Sara Qureshi,2025-04-25 00:00:00,3,7.2,Good,call later,1785
P100890,Lahore,House,1797.0,4.0,3.0,1989,Yes,4,10350000.0,Sara Khan,2022-07-26 00:00:00,3,15.1,Good,owner waiting,891
P100662,Karachi,House,1941.0,4.0,4.0,1983,,1,11300000.0,Maham Shah,2024-08-27 00:00:00,3,4.5,New,owner waiting,663
P102457,Karachi,House,2803.0,5.0,5.0,1985,Yes,2,15000000.0,Saad Malik,2024-06-06 00:00:00,2,9.1,Average,urgent,2458
P100254,Karachi,Villa,811.0,1.0,1.0,2013,No,2,0.0,Usman Sheikh,2023-08-26 00:00:00,2,4.2,Good,call later,255
P100178,Faisalabad,Apartment,1447.0,4.0,4.0,2000,No,4,"3,650,000",Ayesha Qureshi,2025-08-30 00:00:00,2,4.3,Needs Renovation,,179
P100178,Faisalabad,Apartment,1447.0,4.0,4.0,2000,No,4,"3,650,000",Ayesha Qureshi,2025-08-30 00:00:00,2,4.3,Needs Renovation,,179
P102189,Peshawar,Apartment,1644.0,3.0,,1982,Yes,1,5900000.0,Hassan Ahmed,2022-11-18 00:00:00,2,13.1,Excellent,follow up,2190
P101068,Karachi,Villa,1122.0,3.0,3.0,2000,Yes,1,8400000.0,  Zain Raza  ,2023-05-11 00:00:00,2,12.1,New,call later,1069
P100528,Multan,Apartment,1720.0,2.0,1.0,2017,No,1,5900000.0,Hina Ahmed,2025-05-03 00:00:00,2,2.7,New,follow up,529
P101667,Karachi,House,1680.0,4.0,3.0,1993,Yes,2,"8,550,000",Hassan Khan,2022-02-27 00:00:00,1,3.4,Good,urgent,1668
P100435,Karachi,Apartment,1683.0,3.0,3.0,1986,Yes,2,9250000.0,Saad Iqbal,2022-03-02 00:00:00,1,8.2,Good,,436
P101357,Lahore,House,1589.0,3.0,2.0,2014,No,1,7550000.0,Fatima Khan,2025-03-10 00:00:00,3,7.7,Good,,1358
P100756,Lahore,House,400.0,1.0,1.0,2013,Yes,4,2600000.0,Ali Shah,2025-12-31 00:00:00,3,12.6,New,,757
P101116,Karachi,House,745.0,1.0,1.0,2015,No,2,3600000.0,Hassan Iqbal,2023-12-18 00:00:00,3,4.2,Good,nan,1117
P101965,Karachi,House,1487.0,2.0,1.0,2015,No,2,7350000.0,Ali Siddiqui,2024-03-21 00:00:00,1,8.7,Good,,1966
P101551,Lahore,Apartment,1112.0,3.0,3.0,2018,No,4,5000000.0,Hamza Qureshi,2022-12-14 00:00:00,1,12.5,Good,call later,1552
P101545,Lahore,House,1668.0,2.0,,2009,Yes,2,"9,400,000",Hamza Khan,2025-07-16 00:00:00,3,13.1,Excellent,owner waiting,1546
P101855,Hyderabad,Apartment,2087.0,4.0,4.0,2020,No,1,5900000.0,Zain Siddiqui,2024-04-15 00:00:00,3,13.6,Good,nan,1856
P102362,Lahore,House,1088.0,3.0,3.0,1992,Yes,1,6650000.0,Sara Ahmed,2022-11-01 00:00:00,1,2.5,Excellent,,2363
P100188,Rawalpindi,House,20000.0,4.0,4.0,1983,Yes,1,10850000.0,Sara Qureshi,2023-08-11 00:00:00,2,7.1,Good,nan,189
P100438,Rawalpindi,House,2564,4.0,3.0,2013,NO,2,11900000.0,Hamza Malik,2025-07-08 00:00:00,2,16.6,Good,call later,439
P102102,Multan,Townhouse,1336.0,2.0,2.0,1988,Yes,2,4000000.0,Hassan Qureshi,2023-06-21 00:00:00,3,4.0,Average,nan,2103
P101317,Karachi,House,2251.0,5.0,4.0,1993,Yes,2,12300000.0,Bilal Sheikh,2022-12-06 00:00:00,2,5.3,Good,VIP,1318
P101740,Karachi,Villa,1316.0,2.0,2.0,2016,No,1,9350000.0,Omar Khan,2022-01-21 00:00:00,3,3.0,New,,1741
P100251,Faisalabad,Apartment,,3.0,2.0,2022,Yes,2,3200000.0,Fatima Iqbal,,2,2.6,Good,owner waiting,252
P100194,Karachi,Villa,1520.0,3.0,3.0,1990,No,1,11400000.0,Hamza Khan,2025-04-17 00:00:00,3,4.8,Good,call later,195
P101665,Faisalabad,House,1418.0,3.0,3.0,1998,No,1,4900000.0,Fatima Sheikh,2024-01-04 00:00:00,2,4.5,Average,VIP,1666
P100464,Islamabad,House,400.0,1.0,1.0,2002,Yes,2,2900000.0,Bilal Iqbal,2023-04-23 00:00:00,1,15.0,Needs Renovation,VIP,465
P102493,Peshawar,House,,2.0,1.0,2002,Yes,2,2900000.0,Sara Siddiqui,2025-06-18 00:00:00,2,1.1,Average,VIP,2494
P100746,Lahore,House,2499.0,3.0,2.0,1994,No,2,12950000.0,Ali Ahmed,2023-03-23 00:00:00,2,4.9,Good,follow up,747
P101896,Islamabad,House,2404.0,5.0,4.0,1984,No,1,16300000.0,Ahmed Malik,2024-02-17 00:00:00,2,2.7,Good,urgent,1897
P100999,Karachi,Villa,2533.0,,5.0,1984,No,0,15400000.0,Saad Iqbal,2024-01-17 00:00:00,3,8.3,Good,urgent,1000
P101915,Karachi,Villa,,2.0,2.0,2019,No,2,14650000.0,Omar Shah,2023-10-30 00:00:00,2,16.2,Good,nan,1916
P101826,Lahore,House,1699.0,3.0,3.0,2017,Yes,2,10500000.0,Bilal Iqbal,2022-02-21 00:00:00,2,9.3,Excellent,VIP,1827
P101826,Lahore,House,1699.0,3.0,3.0,2017,Yes,2,10500000.0,Bilal Iqbal,2022-02-21 00:00:00,2,9.3,Excellent,VIP,1827
P100527,Hyderabad,Villa,670.0,2.0,2.0,1997,Yes,2,3150000.0,Zain Butt,2024-08-09 00:00:00,3,11.1,Good,nan,528
P100486,Lahore,House,2997.0,5.0,5.0,1991,No,1,13450000.0,Fatima Iqbal,2022-12-01 00:00:00,2,6.8,Good,follow up,487
P101966,Rawalpindi,House,2111.0,4.0,4.0,2016,No,1,8150000.0,Sara Sheikh,2022-09-06 00:00:00,3,0.1,Average,VIP,1967
P101242,Lahore,Villa,2351.0,5.0,,2000,Yes,0,16950000.0,N/A,2022-01-05 00:00:00,2,23.7,New,call later,1243
P101322,Karachi,Apartment,1160.0,1.0,1.0,2010,No,2,5850000.0,Bilal Khan,2024-09-28 00:00:00,2,1.5,Good,urgent,1323
